wavelength |      transmission
       0.3 |   0.0167262754938
     0.301 |   0.0464963802376
     0.302 |   0.0609436394335
     0.303 |   0.0812527064004
     0.304 |   0.0972645969713
     0.305 |    0.122651959063
     0.306 |    0.141501352101
     0.307 |    0.166603138767
     0.308 |    0.191606636194
     0.309 |    0.208977030359
      0.31 |    0.240925217518
     0.311 |    0.256865705392
     0.312 |    0.280479395459
     0.313 |    0.304903783818
     0.314 |    0.316816982507
     0.315 |    0.346068549961
     0.316 |     0.35286888076
     0.317 |    0.377404743962
     0.318 |    0.383697007574
     0.319 |    0.413681485939
      0.32 |    0.408542692329
     0.321 |    0.440331538771
     0.322 |    0.438983861559
     0.323 |    0.447449596127
     0.324 |    0.474048610235
     0.325 |    0.464135795891
     0.326 |     0.48197453943
     0.327 |    0.494853091621
     0.328 |    0.487764821638
     0.329 |    0.508509355656
      0.33 |    0.514278997124
     0.331 |    0.510368515344
     0.332 |    0.524926068538
     0.333 |    0.532177891846
     0.334 |    0.529441696163
     0.335 |    0.541705710262
     0.336 |    0.547245911716
     0.337 |    0.546237211535
     0.338 |     0.55241611205
     0.339 |    0.559992808657
      0.34 |    0.561600011388
     0.341 |    0.566382300327
     0.342 |    0.571727443836
     0.343 |    0.575043177808
     0.344 |    0.576653965021
     0.345 |    0.581900360391
     0.346 |     0.58657231239
     0.347 |    0.590297531478
     0.348 |    0.593710497558
     0.349 |    0.597584420907
      0.35 |    0.600929599019
     0.351 |    0.604189136437
     0.352 |    0.607010957648
     0.353 |    0.610742719526
     0.354 |    0.614087179309
     0.355 |    0.617189928525
     0.356 |    0.620209829135
     0.357 |    0.622996450945
     0.358 |    0.625787148628
     0.359 |    0.628459373323
      0.36 |    0.631118607598
     0.361 |    0.634174614186
     0.362 |    0.637786539139
     0.363 |    0.641433274797
     0.364 |    0.644736290656
     0.365 |    0.647784556484
     0.366 |    0.650794305552
     0.367 |    0.653671833061
     0.368 |    0.656496849749
     0.369 |    0.659285255388
      0.37 |    0.662045659393
     0.371 |      0.6647782957
     0.372 |    0.667483399078
     0.373 |    0.670161264427
     0.374 |    0.672791695825
     0.375 |    0.675388812065
     0.376 |    0.677898531483
     0.377 |    0.680286592172
     0.378 |    0.682509755792
     0.379 |    0.684674351671
      0.38 |    0.686972892005
     0.381 |    0.689597542102
     0.382 |    0.692409583704
     0.383 |    0.695148761592
     0.384 |    0.697732740496
     0.385 |    0.700192718378
     0.386 |    0.702581061857
     0.387 |    0.704916267733
     0.388 |    0.707212864359
     0.389 |    0.709485913878
      0.39 |    0.711735612563
     0.391 |     0.71397934449
     0.392 |    0.716197704703
     0.393 |    0.718378940814
     0.394 |    0.720537767628
     0.395 |    0.722674405556
     0.396 |    0.724786133936
     0.397 |    0.726770299779
     0.398 |    0.728894277889
     0.399 |    0.730956835796
       0.4 |    0.732962949382
     0.401 |    0.735114482248
     0.402 |    0.737227335009
     0.403 |    0.739308711019
     0.404 |    0.741370708203
     0.405 |     0.74341256758
     0.406 |    0.745431381375
     0.407 |     0.74744948739
     0.408 |    0.749428211237
     0.409 |    0.751381041331
      0.41 |    0.753317804208
     0.411 |    0.755239507528
     0.412 |    0.757149315551
     0.413 |    0.759042034466
     0.414 |    0.760899924437
     0.415 |    0.762730276782
     0.416 |     0.76453636823
     0.417 |    0.766333313138
     0.418 |    0.768126647702
     0.419 |    0.769904895815
      0.42 |    0.771676332535
     0.421 |    0.773417028413
     0.422 |    0.775128401651
     0.423 |    0.776815519107
     0.424 |    0.778475842551
     0.425 |    0.780120344289
     0.426 |    0.781761700369
     0.427 |    0.783408340786
     0.428 |    0.785051151274
     0.429 |    0.786675689632
      0.43 |    0.788279711524
     0.431 |     0.78984825258
     0.432 |    0.791359505247
     0.433 |    0.792870856168
     0.434 |    0.794398205401
     0.435 |    0.795922302958
     0.436 |    0.797429639718
     0.437 |    0.798906487728
     0.438 |    0.800340791142
     0.439 |    0.801734233908
      0.44 |    0.803056486302
     0.441 |    0.804356873267
     0.442 |    0.805563162044
     0.443 |    0.806394306895
     0.444 |    0.808196253041
     0.445 |    0.809460505625
     0.446 |    0.810826099756
     0.447 |    0.812384574921
     0.448 |    0.813825131069
     0.449 |    0.815215775388
      0.45 |    0.816563536552
     0.451 |    0.817871243967
     0.452 |    0.819181844299
     0.453 |    0.820462647528
     0.454 |    0.821733981387
     0.455 |    0.822955932628
     0.456 |    0.824110169195
     0.457 |    0.825201410802
     0.458 |    0.826241241766
     0.459 |    0.827262179331
      0.46 |    0.828278910591
     0.461 |    0.829336151635
     0.462 |     0.83044272245
     0.463 |    0.831595329553
     0.464 |    0.832823010045
     0.465 |    0.834050296713
     0.466 |    0.835191232635
