wavelength,irradiance 
115.50,1.8253e-05
116.50,2.3362e-05
117.50,7.7704e-05
118.50,3.0802e-05
119.50,5.0516e-05
120.50,0.00014207
121.50,0.0062050
122.50,6.3193e-05
123.50,4.0911e-05
124.50,2.9693e-05
125.50,2.6641e-05
126.50,3.5580e-05
127.50,1.9167e-05
128.50,1.5424e-05
129.50,1.7497e-05
130.50,0.00015227
131.50,2.4367e-05
132.50,1.9482e-05
133.50,0.00017639
134.50,1.8112e-05
135.50,4.1051e-05
136.50,2.5915e-05
137.50,2.7773e-05
138.50,2.7311e-05
139.50,7.0488e-05
140.50,6.1621e-05
141.50,3.8265e-05
142.50,4.1241e-05
143.50,4.7825e-05
144.50,4.6337e-05
145.50,4.9075e-05
146.50,6.1073e-05
147.50,7.6402e-05
148.50,7.8812e-05
149.50,7.1755e-05
150.50,7.9564e-05
151.50,8.6463e-05
152.50,0.00010688
153.50,0.00011935
154.50,0.00020066
155.50,0.00017910
156.50,0.00018029
157.50,0.00015809
158.50,0.00015759
159.50,0.00015697
160.50,0.00017544
161.50,0.00020624
162.50,0.00023814
163.50,0.00025521
164.50,0.00029253
165.50,0.00047033
166.50,0.00032276
167.50,0.00037829
168.50,0.00041831
169.50,0.00054880
170.50,0.00063096
171.50,0.00063037
172.50,0.00069130
173.50,0.00069509
174.50,0.00084965
175.50,0.0010417
176.50,0.0011234
177.50,0.0013502
178.50,0.0015078
179.50,0.0014958
180.50,0.0019954
181.50,0.0023535
182.50,0.0022800
183.50,0.0024284
184.50,0.0020966
185.50,0.0023935
186.50,0.0027531
187.50,0.0030904
188.50,0.0033069
189.50,0.0036357
190.50,0.0038675
191.50,0.0041088
192.50,0.0044371
193.50,0.0034716
194.50,0.0056108
195.50,0.0054989
196.50,0.0061557
197.50,0.0062072
198.50,0.0062463
199.50,0.0067775
200.50,0.0073203
201.50,0.0080663
202.50,0.0079466
203.50,0.0091571
204.50,0.010176
205.50,0.010440
206.50,0.010804
207.50,0.012561
208.50,0.014513
209.50,0.020990
210.50,0.027326
211.50,0.033234
212.50,0.031619
213.50,0.028636
214.50,0.040832
215.50,0.033570
216.50,0.032434
217.50,0.031519
218.50,0.044731
219.50,0.047064
220.50,0.046584
221.50,0.033134
222.50,0.048527
223.50,0.061654
224.50,0.056506
225.50,0.049834
226.50,0.035090
227.50,0.035513
228.50,0.050688
229.50,0.042980
230.50,0.052187
231.50,0.044745
232.50,0.047864
233.50,0.039896
234.50,0.032199
235.50,0.051384
236.50,0.039582
237.50,0.047760
238.50,0.032668
239.50,0.040290
240.50,0.037168
241.50,0.043649
242.50,0.065860
243.50,0.060578
244.50,0.058503
245.50,0.046921
246.50,0.047523
247.50,0.055058
248.50,0.042587
249.50,0.054757
250.50,0.057679
251.50,0.044575
252.50,0.039431
253.50,0.050654
254.50,0.055901
255.50,0.078835
256.50,0.094206
257.50,0.11688
258.50,0.12367
259.50,0.10323
260.50,0.083950
261.50,0.082030
262.50,0.10418
263.50,0.15287
264.50,0.23736
265.50,0.24666
266.50,0.24058
267.50,0.24073
268.50,0.24079
269.50,0.21568
270.50,0.27180
271.50,0.22573
272.50,0.17792
273.50,0.20413
274.50,0.12067
275.50,0.17212
276.50,0.23754
277.50,0.23539
278.50,0.15507
279.50,0.072870
280.50,0.084641
281.50,0.19866
282.50,0.27642
283.50,0.30732
284.50,0.23537
285.50,0.11864
286.50,0.31523
287.50,0.34323
288.50,0.28430
289.50,0.42436
290.50,0.56620
291.50,0.52707
292.50,0.46006
293.50,0.52153
294.50,0.47311
295.50,0.52980
296.50,0.47174
297.50,0.50593
298.50,0.37365
299.50,0.52411
300.50,0.34764
301.50,0.47551
302.50,0.46742
